Text,Class
പക്വതയില്ലാത്ത ഇവൾ പറയുന്നത് കേട്ട് ആരും ഒന്നും ചെയ്യല്ലേ,Abusive
ശരീരം കൊണ്ട് ഹിറ്റ്‌ ആയ താടകകൾ അല്ലാതെ കഴിവും കലയും കൊണ്ടല്ല,Abusive
ദിൽഷ പ്രസന്നൻ ഒന്ന് ബിഗ് ബോസ് കണ്ടു നോക്ക് എന്നിട്ട് പറ നിനക്ക് അർഹത ഉണ്ടോ ഇതിന് എന്ന്,Abusive
"""ലെ ഗായത്രി : കടലിൽ ട്രോളിങ് നിരോധനം ഉണ്ടല്ലോ, പിന്നെന്താ യൂട്യൂബിൽ ട്രോളിങ് നിരോധിച്ചാൽ കുഴപ്പം.""",Non-abusive
ഞാൻ ഒരു ദിവസം 250 വോട്ട്  ചെയ്തത് ദിശയ്ക്ക് മാത്രം  ചെയ്തത് എന്റെ പല സിം ഉപയോഗിച്ച്,Non-abusive
"""ബ്ലെസ്ലി,, പുറത്തു വന്നിട്ട് എന്ത് പറഞ്ഞു,, അവൻ ആരെയും മോശമായി ഒന്നും പറഞ്ഞില്ല.. എത്രയും അവനെയും അവന്റെ ഫാമിലിയേം ഡീഗ്രേഡ് ചെയ്യ്തു, ചെയ്യുന്നു.. എന്നിട്ടും അവൻ എന്തെങ്കിലും പറഞ്ഞോ... ഇനി വീണ്ടും അവനേ ചവിട്ടി അരക്കാൻ പറ്റില്ല.ദിൽഷ ആർമിയേ കുറിച്ച് ഒന്നും പറയല്ലേ,, ബ്ലെസ്ലിയുടെ വീഡിയോ അറ്റവും മുറിയും എടുത്തു ഭയങ്കര ബിജിഎം ഇട്ട് അവനേ ചവിട്ടി തേച്ചത് ഒന്നും മറന്നിട്ടില്ല... മറക്കുകയുമില്ല..""",Abusive
ഇത്രയും അയിട്ടും നാണം ഇല്ലേ? ഇങ്ങെനെ ഒക്കെ പറഞ്ഞു ജനങ്ങളെ വിഡികൾ ആക്കാൻ,Abusive
ഞാനെന്തോ വലിയ സംഭവമാണെന്നാ ധാരണ ലോക കമ്മ്യൂണിസത്തെ കുറിച്ചുപോലും ഒരു ചുക്കും അറിയില്ല പറയുന്ന വാക്കുകളിലും ഒരു അർത്ഥവുമില്ല. എന്തൊക്കെയോ പറയുന്നു,Non-abusive
ആ കുട്ടികൾ എന്ത് തെറ്റാണ് ചെയ്തത്..അവർ നിങ്ങളുടെ സ്വാതന്ത്ര്യത്തിൽ കൈ കടത്തുന്നുണ്ടോ....അവർ അവരുടെ കാര്യം നോക്കി ജീവിക്കുന്നു...നിങ്ങൾക് താല്പര്യം ഇല്ല എങ്കിൽ നിങ്ങൾ കാണണ്ട....അവർ നാട്ടിൻപുറത്തെ ആൾകാർ ആണ് അതിന്റെ നിഷ്കളങ്കത അവരിൽ ഉണ്ട്...,Non-abusive
ഞാനും എന്റെ ഭർത്താവും ഇത് പോലെ തന്നെ ആണ് കാണാൻ കൂറേ വിമർശനം ഉണ്ടായിട്ടും ഇപ്പോഴും സന്തോഷമായി ജീവിക്കുന്നു ഇവരെ പോലെ തന്നെ വേഗം രണ്ടാമത്തെ കുട്ടിയും ആയി,Non-abusive
ആരെങ്കിലും പറയുന്നത് കേട്ടിട്ടാണോ സ്വന്തം ബെസ്റ്റ് ഫ്രണ്ടിനെ ഒഴിവാക്കേണ്ടത്..!!!,Non-abusive
"""റിയാസ് പറഞ്ഞത് ഇപ്പോൾ ശെരി ആയി, റോബിന്റെ ഫാൻസുകാർ അത്രക് മണ്ട ഷിരോമണികൾ ആണ് """,Non-abusive
മക്കളെ സെറ്റിൽ ആക്കാൻ ശ്രമിക്കുന്ന  നാട്ടിൽ.മാതാ പിതാക്കളെ സെറ്റിൽ ആക്കാൻ നടക്കുന്ന മകൾ.ഒഴിഞ്ഞു മാറാൻ കണ്ടൂ പിടിച്ച കാരണം കൊള്ളാം..... ഇത് കേരളം തന്നെ അല്ലേ..... സെലിബ്രിറ്റി ആയാൽ ഇങ്ങനെ ഒക്കെ ആണോ..,Abusive
ദീപാവലി ആയിട്ട് വെറൈറ്റി മീഡിയ പടക്കം കൊണ്ടുവന്നല്ലോ കൊള്ളാം......,Abusive
സത്യം മോളെ അങ്ങനെ തന്നെ ചെയ്‌താൽ മതി.... എടുത്തു ചാടി ഒന്നും ചെയ്യണ്ട..... വെറുതെ ജീവിതം കുട്ടി ചോറ് ആക്കരുത്,Non-abusive
കമന്റ്‌ കാണാൻ മാത്രം വന്ന ആരൊക്കെ ഉണ്ട്,Non-abusive
പ്രേക്ഷകരുടെ മനസ്സിൽ ഇടം പിടിക്കുക അതാണ് നല്ല ഗൈമർ..ടാസ്ക് കളിച്ചും... ഫിസിക്കൽ ഗെയിം കളിച്ചും അല്ലാ ബിഗ് ബോസ് വോട്ടിങ്കിൽ നാലാം സ്ഥാനകാരിയായ...നിന്നെ.. ഒന്നാം സ്ഥാനത്ത്.. എത്തിച്ച ഡോക്ടർ തന്നെയാണ്... ഹീറോ ..,Non-abusive
ഇവൾ ആരാ ഈ ജാതി കിറവലനെ പിടിച്ച് ഇൻറർവ്യൂ ചെയ്യല്ലേ,Abusive
"""ജാസ്മിൻ സംസ്കാരം ഇല്ലാത്തവൾ ആണ്   അവളുടെ സംസാരം ഇപ്പോഴും അങ്ങനെ തന്നെ ഒട്ടും മാറിയിട്ടില്ല, ഇനി മാറുകയുമില്ല""",Abusive
നോട്ട പിശക് ല്ല.... ആരാണ്ടും എഴുതിയത് അടിച്ചു. മാറ്റ യതാണ് നിങ്ങൾ,Abusive
ഏതാ ഈ അവതാരക ഫുൾ ഡേ റിമൈൻഡർ ആയിട്ടുള്ള ക്വസ്റ്റ്യൻസ് ആണല്ലോ ചോദിക്കുന്നത്,Non-abusive
കുട്ടി  പറഞ്ഞത്  മനസിലായി  കുട്ടി  ആത്മാർത്ഥ ഉള്ള  കുട്ടി ആണ്  ദിൽഷാ  എനിക്ക്  കുട്ടിനെ  വലിയ  ഇഷ്ട്ടം  ആണ്  മിടുക്കി,Non-abusive
"""ഇതെവിടെയ രാജകുമാരി , നിന്റെ സൂരജ് കുമാരൻ എവിടെ """,Abusive
"""ബിഗ് ബോസ് എല്ലാവരും കണ്ട ഷോ യാണ് , നിങ്ങൾ അതിൽ കാട്ടികൂട്ടിയത് പ്രത്യേകിച്ച് റോബിനോടുള്ള പെരുമാറ്റം... അതിന്റെ ഫലമാണ് ഇതെല്ലാം എന്തിനാ കിടന്നു മോങ്ങുന്നത് കുഞ്ഞു വാവ, ബിഗ് ബോസിൽ കളിച്ചത് പ്രണയനാടകം ആയി രുന്നു അല്ലേ""",Abusive
നിനക്ക് കോപ്പ് ആർമി ഉണ്ട് ഒന്ന് പോടീ,Abusive
സാറെ സാറെ ഒരാൾക്ക് ഒരു ഡിസ്‌ലൈക്ക് മാത്രമേ അടിക്കാൻ പറ്റൂ,Non-abusive
രണ്ട് ഫെമിച്ചികളും അറിഞ്ഞു കൊണ്ടുള്ള കളിയാ,Abusive
വളരെ നന്ദി ഇപ്പഴങ്കിലും വായ തുറന്നല്ലോ... നിനക്ക് വോട്ടു ചെയ്തതിൽ വിഷമമില്ല കാരണം ഡോക്ടർ നീ ജയിക്കണംന്ന് ആഗ്രഹിക്കുന്നു എന്ന് പറഞ്ഞ ഒറ്റവാക്കിന് പുറത്ത് നൽകിയ വോട്ടാണത്.,Non-abusive
നീ നഖം തിന്നുവാനും ചീത്ത വിളിക്കാനും കട്ട് തിന്നാനും കിട്ടനത്കഴിക്കാനും മാത്രം വായ തുറക്കുന്ന ആളായിട്ടാണ് സിഗരറ്റ് വലിക്കാനും പിന്നെ നീയും നിമിഷംകിടന്നു കാണിച്ച് ആക്ഷൻ ഞങ്ങൾ പറയുന്നില്.  …..,Abusive
എന്താ ഇവിടെ ഫുൾ നെഗറ്റീവ് കമന്റ്‌,Non-abusive
കുറച്ചു ഡിസ്‌ലൈക് കിട്ടിയാലും ബിഗ്ബോസ് ഫാൻസിനെ കൊണ്ട് ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യിക്കാനുള്ള അനൂപിന്റെ സെക്കളോജിക്കൽ മൂവ്..,Non-abusive
അല്ല ഇത് ആരാണ് പുതിയ ഒരു അവതാരം ഇതിനു മുൻപ് ഇവിടെ കണ്ടിട്ടില്ലല്ലോ,Non-abusive
റോബിനെ പോലെ നിനക്ക് ഒരാളെ കിട്ടില്ല മോളെ,Abusive
ജസ്ല മാടശ്ശേരിയെ തെറി വിളിക്കുന്നവരെല്ലാം ഞമ്മന്റെ ആൾക്കാർ ആണല്ലോ,Non-abusive
"""നാളെ മിക്കവാറും അലക്കിവെളുപ്പിക്കാതെ, പറഞ്ഞതിൽ തന്നെ ഉറച്ചു നിൽക്കണം,""",Abusive
എന്ത് പറഞ്ഞാലും ഡോക്ടർ ഉള്ളത് കൊണ്ട് ഇത്ര വരെ എത്തിയത് അത് മറക്കരുത്,Non-abusive
ജാസ്മിനോട് അലറി വിളിച്ചു നേടിയ രാജ പട്ടം ആണ് റോബിന്റേത് അയാൾ മറ്റെന്താണ് അതിനുള്ളിൽ ചെയ്തത് ലൗ ട്രാക്ക് പിടിക്കാൻ നോക്കി അവസാനം അയാള് പുറത്തു കളിച്ച കളിയിൽ ഇന്നു കുട്ടി ഇരുന്നു കരയേണ്ടി വന്നു അയാളെക്കാൾ എന്തുകൊണ്ടും ഡീസർവിങ് നി തന്നെയാണ്,Non-abusive
മറ്റുള്ളവരെ നമ്മുടെ വാക്കുകൾ ഏങ്ങനെ ബാധിക്കും എന്നു ഓവർ  ആയി ചിന്തിച്ചാൽ ലൈഫിൽ ഒരുപാട് ടെൻഷൻ അടിക്കേണ്ടി വരും. എല്ലാ പ്രതിസന്ധികളെയും തരണം ചെയ്യാൻ കൃഷ്ണൻ അനുഗ്രഹിക്കട്ടെ,Non-abusive
"""ഇവൾക്ക് ശരീരവും വെളുപ്പിക്കണം, അവളുടെ വാദങ്ങളും വെളുപ്പിക്കണം. വെളുപ്പ് വിട്ട് ഒരു കളിയുമില്ല""",Abusive
ഇൗ വൃത്തി കേട്ട സാദനതിനെ അല്ലാതെ വേറെ ആരെയും പ്രാങ്കാൻ കിട്ടിയില്ലേ,Abusive
ഒന്ന് എണിറ്റു പൊടി നിനക്ക് കപ്പ്‌ ഓസിനു കിട്ടിയല്ലോ നീ ആരോ കല്ലിയാണം കഴിക്ക് നിന്റെ ഒരു പുളുത്തിയ ഞായം എന്തയാലും നിനക്ക് കിട്ടിയ ഈ വിജയം അർഹത ഇല്ലാത്ത ആണ് നീ ഇരന്നു വാങ്ങിയ ആണ്  ലോകത്ത് നീ മാത്രം അല്ല പെണ്ണ് നിന്റെ കള്ള കരച്ചിലും എല്ലാം അങ്ങ് ബിഗ് ബോസ് വീട്ടിൽ ഇവിടെ വേണ്ട  ഒന്നു പൊടി കോപ്പേ,Abusive
നിന്നെ പോലെ ഉള്ള അഹങ്കാരികൾ ആയ പെൺപിള്ളേർ എല്ലായിടത്തും ഉണ്ട്,Abusive
"""കേരളത്തിൽ മുഴുവനും ട്രോളന്മാർ ആണ്... അറിയപ്പെടുന്ന ഒരാൾ ഒരു ഡാൻസ് കളിച്ചാൽ, ഒരു ഡ്രസ്സ്‌ ഇട്ടാൽ, പാട്ട് പാടിയാൽ, ഇംഗ്ലീഷ് പറയാതെ ഇരുന്നാൽ, ഇംഗ്ലീഷ് പറഞ്ഞാൽ, മലയാളം പറയാതിരുന്നാൽ, മലയാളം പറഞ്ഞാൽ... എല്ലാത്തിനും ട്രോൾ... ഇവന്മാരെ സപ്പോർട്ട് ചെയ്യുന്നവർ ഓർക്കുന്നില്ല നാളെ ഈ സപ്പോർട്ട് ചെയ്തവരും ഒരു സെലിബ്രേട്ടി അയാൽ ഇവന്മാർ നിങ്ങളെയും ട്രോളും..... മറ്റൊരാളെ ട്രോൾ ചെയ്യുന്നത് കാണാനും അതിൽ വരുന്ന തെറിയും തെറി അല്ലാത്തതും ആയ കമന്റ്‌ വായിച്ചു ചിരിക്കാനും ഒക്കെ നല്ല രസം ആണ്, അത് അവനവൻ തന്നെ ആകുമ്പോളേ അതിന്റെ ബുദ്ധിമുട്ട് മനസിലാകൂ.... (പാപം ചെയ്യാത്തവർ കല്ലെറിയട്ടെ )""",Non-abusive
എന്റെ കൊച്ചേ നിനക്കുനാണമില്ലേ ഇങ്ങനെ കിടന്നുചിലക്കാൻ കുറച്ചുനാളത്തേക്കെങ്കിലും ഒന്നുമിണ്ടാതിരുന്നുകൂടെ ഇങ്ങനെ നുണപറയാൻ ഒരുളുപ്പുമില്ലല്ലോ,Abusive
ഇവളുടെ തീട്ട ഷോ കാണാൻ നിൽക്കുന്നവരെ സമ്മതിക്കണം,Abusive
ഇപ്പോൾ എന്തായി എല്ലാം നന്നായില്ലേ എന്തൊക്കെയായിരുന്നു ..ദിൽഷാർമി.. ദില്‍റോപ് ആർമി.. ഡോക്ടർ ആർമി.. എല്ലാ ആർമിക്കാർക്കും സന്തോഷായില്ലേ,Non-abusive
ഈൗ തീട്ടം ആണോ സെലിബ്രിറ്റി കഷ്ടം..  ഉള്ള വില കളയല്ലേ അനൂപ്,Abusive
ദിൽഷയുടെ ചേച്ചി തന്നെ അല്ലേ എൻറെ അനിയത്തിയെ ഒരുത്തൻ പീഡിപ്പിക്കുന്നു ഹെൽപ്പ് ചെയ്യൂ എന്ന് കരഞ്ഞത്. അതുകൊണ്ടല്ലേ ഡോക്ടർ ഇൻസ്റ്റഗ്രാം പോസ്റ്റ് ഇട്ടത്. ഓർമ്മക്കുറവ് ഉണ്ടല്ലേ,Non-abusive
"""ബഷീർ mashura എഴുതിയത് ഇടങ്കണ്ണിട്ട് നോക്കുവാ, അപ്പോ പിന്നെ ആൻസർ അതല്ലെങ്കിലും അത് പറയാമല്ലോ """,Non-abusive
ഏതോ ഒരു സോപ്പ് തേച്ചു വെള്ളുത്തില്ല എന്ന് പറഞ്ഞു മമ്മൂട്ടിക് എതിരെ കേസ് കൊടുത്തില്ലേ. മോഹൻലാലിനും കിട്ടി.,Non-abusive
ഇതിൽ നിന്നും എനിക്കും ഒരു പ്രചോദനം ലഭിച്ചു... ഒരു ഡോക്ടറേറ്റ്  കരസ്തമാക്കാം എന്ന ശുഭ പ്രതീക്ഷ എന്നെപോലെയുള്ളവർക്ക് നൽകിയ ഭവതിക്ക് ഒരായിരം നന്ദി,Abusive
എന്തൊരു വിനയം ചിന്ത ഡോക്ടർക്ക്.. ആ അപ്പുറവും ഇപ്പുറവും  ഇരിക്കുന്ന രണ്ടെണ്ണത്തിന്റെയും  ഗതികേട്  അതുങ്ങളുടെ  മുഖം  കണ്ടാലറിയാം.,Non-abusive
ഇത് പോലുള്ള മൊതലുകളാ 100% സാക്ഷരതക്ക് വിലങ്ങായുള്ള ശതമാനം.. അതായത് ബാക്കിയുള്ള കക്കൂസിലെ രണ്ട് ക്രിമികളിലൊന്ന്,Abusive
ശെരിക് പറഞ്ഞാൽ ജസ്ലയും സനയും ചേർന്ന് അനൂപിന് കൊടുത്ത പ്രാങ്ക് ആണിത് . അനൂപിന് അടിച്ചു  ഇൽ കൊടുത്തു,Abusive
വളരെ വിഷമിച്ചിരിക്കുമ്പോഴും സന്തോഷത്തിൽ  ഉള്ളപ്പോഴും ഒരു ഡിസിഷൻ എടുക്കാൻ പാടില്ല. ഇതിൽ  പറഞ്ഞ പല കാര്യങ്ങളും നിങ്ങളുടെ മനസ്സിൽ നിന്ന് പറഞ്ഞത്  തന്നെ ആണ്  എന്നാൽ അത് കൊണ്ട് നിങ്ങൾക്കു എതിരെ  ഉള്ള ഡീഗ്രേഡിങ് കുറയും എന്ന് വിചാരിച്ചെങ്കിൽ തെറ്റിപ്പോയി ദിൽഷാ. ഇത്  കൂടുതൽ complicated ആവുകയാണ്  ചെയ്തത്.,Abusive
പാലം കടക്കോളാം  നാരായണ  നാരായണ   പാലം  കടന്നാൽ കൂരായാണ കൂരായാണ,Non-abusive
ഇനി ഇപ്പോൾ ഈ വീഡിയോയുടെ ട്രോൾ ഉടനെ വരുവെല്ലോ,Non-abusive
ഇവൾ എഴുതി ഉണക്കിയിട്ടു എന്ത് ഉണക്കാനാണ് വിഡ്ഢിയായ പെണ്ണ്,Abusive
മദ്‌റഭൂമി പത്രം ഇത്ര അധികം ആദമ്പതിച്ചോ. കഷ്ടം.,Non-abusive
ചെലക്കുന്നതിൽ കാര്യമില്ല. നിൻ്റെ എച്ചിൽ കാശ് റോബിൻ ഫാൻസിന് ആവശ്യമില്ല.ചങ്കുറ്റമുണ്ടങ്കിൽ ആ കാശ് വല്ല അനാഥലയത്തിനും നൽകൂ.....,Abusive
മേക്കപ്പ് ഇല്ലാതെ ജീവിക്കു അപ്പൊ ജാമ്പക മൂക് വന്നോളും,Abusive
കോയ കുരുക്കൾ ആണല്ലോ പൊട്ടുന്നത് മുഴുവൻ,Non-abusive
കിറ്റ് ചോദിച്ചാൽ ചെലപ്പോൾ തരും അല്ലാതെ ഇതൊക്കെ വെറും പ്രഹസനം അല്ലെ,Non-abusive
"""എന്റെ പൊന്നു അനൂപേട്ടാ വേറെ ആരെയും കിട്ടീലെ, ഈ പട്ടി ചെറ്റകളെ കിട്ടീട്ടുള്ളു """,Abusive
എന്റെ ചിന്തേ അല്ലേലും കഷ്ടകാലം വന്നാൽ അങ്ങനാ എല്ലാം ഒരുമിച്ചു വരും ആദ്യം ശമ്പള പ്രശ്നം ഇപ്പൊ ഇതാ വഴക്കുല,Non-abusive
ഇവരെ വച്ചു വേണ്ടായിരുന്നു... നാറിയ പരിപാടി ആയിപ്പോയി,Abusive
ചിന്ത ജെറോം ഇനിമുതൽ വാഴ ചിന്ത അഥവാ ചിന്താ വാഴ എന്നറിയപ്പെടും,Abusive
എന്ധെലും ഊളകൾ സ്റ്റോറി ഇട്ടാണ് പറഞ്ഞു അതിന്റെ പേരിൽ കിടന്നു മോങ്ങിയട്ടു എന്തു കാര്യം,Abusive
വെള്ളാപ്പള്ളി യുടെ വാഴക്കുല ക്കല്ല ഡോക്ടറേറ്റ് കൊടുത്തത് അപ്പോ അത് റയൊക്കെകാണുള്ളൂ,Non-abusive
ഡോക്ടറുടെ ഫാമിലി നിന്നെ കുറ്റം പറയുകയോ മറ്റ് ഒരു കാര്യത്തിനും വന്നിട്ടില്ലാ അവരെ വേറുതെ വിടു ദിൽഷ പറഞ്ഞത് ആരുടെ ഫാമിലി ആണന്ന് നിനക്കും നിന്റെ വീട്ടുകാർക്കും അറിയാം ആ പാവങ്ങളെ വേറുതെ വിടു,Non-abusive
ചിന്ത വളരെ  സ്പീഡിൽ സംസാരിക്കുന്ന ആളാണല്ലോ. എന്നാൽ ഇപ്പോൾ സംസാരിക്കാൻ ബുദ്ധിമുട്ടുന്നത്. നല്ല  ചമ്മൽ ചിന്തയുടെ  മുഖത്ത്  കാണുന്നുണ്ട്,Abusive
മൂന്നര അടി നീളം മാത്രമുള്ള തീട്ടം പൂറി,Abusive
വേറെ രീതിയിൽ നിങ്ങൾ ചിന്തിപ്പിക്ക അല്ലേ.. അച്ഛനെ വരെ എന്തൊക്ക പറയുന്നേ,Non-abusive
മോളെ 50ലക്ഷം പാവപ്പെട്ട ആളുകൾക്ക് കൊടുക്ക്‌ എന്നാൽ നീ പറയുന്നതിൽ അർഥം ഉണ്ട്‌,Non-abusive
ദിൽഷനോടുള്ള  ഇഷ്ടം  കൊണ്ട് ആരും  വോട്ട് ചെയ്‌തട്ടില്ല. ഡോക്ടർ ഫാൻസ്‌ മാത്രം  ആണ് ദിൽഷനെ  വിൻ ആക്കിയത്.,Abusive
ബെസ്റ്റ് അപ്പോൾ  നീ അവിടെ പറഞ്ഞ വാക്കുകൾ.,Non-abusive
ഇതൊന്നും വല്ല്യ വിസ്മയമായി കരുതാൻ കഴിയില്ല..ശീതികരിച്ച മുറിയിൽ ഇരുന്നു നാലാൾ കാണാൻ ഫോട്ടൊ എടുത്തു സമൂഹ മാധ്യമങ്ങളിൽ പ്രചരിപ്പിക്കുന്നത് ജന പ്രീതി കൂട്ടുമെന്ന് വിചാരിക്കുന്നത് മൗഢ്യ മാണ്....കാരണം തെരുവോരങ്ങളിൽ കടുത്ത ചൂടിൽ പിഞ്ചുകുഞ്ഞിനെ പുറത്ത് തുണിയിൽ കെട്ടി തൂക്കിയിട്ട് ജോലിചെയ്യുന്ന ആ അമ്മമാരുടെ മഹത്വം ഈ  മഹതി ക്ക് കൊടുക്കുന്നതിൻ്റെ  കാരണം ഒര് പക്ഷേ രാഷ്ട്രീയമായിരിക്കാം.... എന്നാൽ ഒരു ജില്ലാ കലക്ടർ തൻ്റെ കുട്ടിയെ ഇത് പോലേ ഓഫീസിൽ നിർത്തി ജോലി ചെയ്യുന്ന ഫോട്ടോ നവമാധ്യമങ്ങളിൽ നിറഞ്ഞു നിന്നപ്പോൾ അതിനെ ട്രോളിയവർ ആണ് ഇത് ഒരാന കാര്യം എന്ന് പറഞ്ഞു നടക്കുന്നത്......,Non-abusive
ബഷിടെയും മഷുന്റെയും കള്ളത്തരങ്ങൾ ഓരോ ചോദ്യങ്ങളിൽ ആയി പൊളിഞ്ഞു.,Non-abusive
നീ നിൽക്കേണ്ട രീതിയിൽ നിൽക്കാതത് കൊണ്ട് ആണ് ഈ പ്രശ്നം വഷളാക്കിയത് നീ ബീഗ്ബോസിൽ നിന്നും ഇപ്പോഴും പുറത്ത് വന്നിട്ടില്ല മൂന്ന് മാസത്തിൽ അധികം ബിഗ് ബോസിൽ നിന്നിട്ടും മുപ്പത് വയസ് ആയിട്ടും നിനക്ക് ഒരു ഉറച്ച തീരുമാനം എടുക്കാൻ നിനക്ക് കഴിയുന്നില്ലേ ദിൽഷാ ഞങ്ങൾ പ്രേക്ഷകർ പോട്ടൻ മാർ എല്ലാ  എല്ലാ ചെയ്യ്തിട്ട് പ്രേക്ഷകരെ കുറ്റം പറയുന്നത് ചെറ്റത്തരം ആണ് ദിൽഷാ നിന്നെ പറ്റി ഞങ്ങൾ ഇങ്ങനെ അല്ല വിചാരിച്ചത് എല്ലാറ്റിനും ഞങ്ങളുടെ നടുവിരൽ നമസ്കാരം,Abusive
പരീക്ഷയിൽ ഉത്തരം തെറ്റിയെഴുതിയാൽ മാർക്ക് ലഭിക്കില്ല. പ്രമോഷനും ലഭിക്കില്ല. അതായത് ഡോക്ടറേറ്റ് നേടുന്നതിന് അർഹതയില്ല എന്ന് ചുരുക്കം. കൂടുതൽ അളിഞ്ഞ വർത്തമാനം പറയരുത്. നോട്ട പിശക് കൊണ്ട് ഉത്തരം തെറ്റി എഴുതിയാൽ പ്രമോഷൻ ലഭിക്കുമോ?,Abusive
ചേച്ചിയുടെ നെറ്റിയില് സിന്ദൂരം ഒക്കെ ഇട്ടിട്ടുണ്ടല്ലോ.....ഇവൾക്ക് ഭർത്താവ് ഒക്കെ ഉണ്ടോ,Non-abusive
അമ്മയെയും അച്ഛനെയും പറയിപ്പിക്കാൻ ഉണ്ടായ രണ്ടെണ്ണം. തൊലിക്കട്ടി അപാരം. കേരളത്തിൽ ഉള്ള ആണുങ്ങളുടെ ലൈംഗിക ദാരിദ്ര്യം മുതലെടുത്തു പൈസ ഉണ്ടാക്കി ജീവിക്കുന്നു. എവിടെ പോയാലും ആളുകൾ വേറെ കണ്ണ് കൊണ്ട് കാണും.,Abusive
എന്തെങ്കിലും പറഞ്ഞിട്ടുണ്ടെങ്കിൽ അത് അബദ്ദമേ ഉള്ളു എന്ന് അനൂപ് ജസ്ലയോട്.  ജസ്‌ല ആണോ അബദ്ദമേ വരൂ എന്ന് പ്രേക്ഷകർ,Abusive
ബെഷീറിന് സുഹാനെ പേടി ഉണ്ടായിരുന്നെങ്കിൽ മഷൂറയെ  കെട്ടില്ലായിരുന്നു എന്തിനാണ് ആ  പാവത്തിന്റെ  മുകളിൽ എല്ലാ കുറ്റവും കൊണ്ടുവയ്ക്കു ന്ന ത്  സുഹാന,Non-abusive
നന്നായി ദിൽഷ.. നിനക്ക് കിട്ടിയ  ക്യാഷ്   റോബിൻ ഫാൻസ് ന് വേണ്ടാ.. അത്  നീ ആ സുരാജ് ന് കൊടുക്ക്‌...,Non-abusive
മഷൂറാക്ക് തോന്നും ബഷീറിൽ ഒരു കുറവും ഇല്ല എന്ന് .കാരണം മഷൂറാക്ക് ഇഷ്ടമില്ലാത്ത ഒരു കാര്യവും ബഷീർ ചെയ്യാറില്ലല്ലൊ പക്ഷെ സോനൂന്റെ ജീവിതം തന്നെ തകർത്ത കാര്യം ബഷീർ ആദ്യം തന്നെ ചെയ്തല്ലോ ഇനിയെന്താണ് ആ പാവത്തിനോട് ചെയ്യാൻ ബാക്കിയുള്ളത്,Non-abusive
ഇവളുമാരെ വച്ചു ഇൻറ്റർ വ്വൂ വച്ച് നിങ്ങളുടെ ചാന്ലിന്റനിലവാരം കുറക്കാതിരിക്കൂ,Non-abusive
എനിക്ക് ഫാമിലിക്കും ഭയങ്കര ഇഷ്ടം ആണ് മോളെ എന്നും പ്രാർത്ഥന യിൽ ഉൾപെടുത്താറുണ്ട്,Non-abusive
നമ്മൾക്ക് അറിയാമായിരുന്നു ദിൽഷ ജയിച്ചു കഴിഞ്ഞാൽ ഇങ്ങനെ ഒക്കെ പറയുമോന്ന് പിന്നെ സത്യം പറഞ്ഞാൽ ജനുവൽ ആയിട്ടാണോ കളിച്ചതെന്ന് തങ്ങൾക്ക് മാത്രം തോന്നുന്നുള്ളു അഭിനയിച്ചത് മതി ഇനി പോയി വേറെ ഫ്രണ്ടിനെ തപ്പ് ഡോക്ടർ സത്യം പറഞ്ഞൽ പാവം ആണ്,Abusive
ഇപ്പോഴാണ് ദിൽഷായോട് ബഹുമാനം തോന്നുന്നത് .. ഇങ്ങനെ ഒരു ഗെയിം പ്ലാൻ എടുത്തില്ല എങ്കിൽ ഈ മലയാളികൾ ഒരു സ്ത്രീയെ ടൈറ്റിൽ വിന്നർ ആക്കുമായിരുന്നോ ? ദിൽഷക്ക് അറിയാം മലയാളികളുടെ സ്വഭാവം സൊ ഡ്രസിങ്  മുതൽ പെരുമാറ്റം വരെ ദില്ഷാ ഗെയിം പ്ലാൻ ആക്കി .. സീരിയലും  യൂട്യൂബും  കണ്ടു  ആർമിയും കൊണ്ട് ഇറങ്ങിയ ഒരു കൂട്ടം മലയാളികളെ മുഖത്തിട്ട്  അടിച്ചു  .. മിടു മിടുക്കി,Non-abusive
3 ബെഡ്റൂം ഒരു ലിവിംഗ് റൂം ഒരു കുച്ഛൻ  666 രൂപക്ക്,Non-abusive
""",,,,,,,,,,,,,,,,,,, ഒന്നും പണ യൂ ന്നി ല്ല""",Abusive
ബിഗ് ബോസ്സിൽ ഞങ്ങൾ കണ്ടത് ഫ്രണ്ട്ഷിപ് അല്ല തോന്നി.. ശെരിക്കും ദിൽഷ റോബിനോട് പ്രേമം തെന്നെയാണ് ഞങ്ങൾക്ക് മനസ്സിലായത് .. അതിനുള്ളിൽ എന്തെല്ലാം കാണിച്ചിരുന്നു,Non-abusive
ഇങ്ങനെ കരയല്ലേ...... എല്ലാം വളരെ ശാന്തമായി എടുക്ക്... ഗുരുവായൂരപ്പന്റെ ഭക്ത അല്ലെ.. ഒക്കെ ശരിയാവും ന്നെ...,Non-abusive
